id,restaurant_id,work_hour
311,e94da876-5759-43ff-adff-7009b5b6863d,رستوران
312,e99eec23-dbc0-49b8-ab80-8b9ae25d272f,Sep-22
313,e72c1927-0019-4491-a99e-491e32934d9e,7-11:45
314,29e997c0-a557-4e00-a748-dc4487e71e8c,Dec-23
315,cbde4823-c88b-40c7-8c91-29149e7cd4a2,Nov-24
316,6a2a16f6-2837-4aed-90d0-6cd3e9d4bb5a,10-Nov
317,af62dea3-9879-4c94-bdd0-803f947b6e12,20-24
318,a24d083a-6f45-4504-97c8-fc73eae2ff29,Dec-23
319,0ae53ce7-07a1-43bf-a1b9-95dd7869c159,Dec-24
320,e3e8010c-247e-4663-92e9-94dfe37e4a79,Aug-24
321,2c58fa76-c2fd-4a54-8014-d3235c575b09,Jul-24
322,f69b6dd1-afdb-4d10-ac21-6a6aae16d29d,19-24
323,367ed3c6-fd64-4ac8-a040-88493c74def5,Nov-24
324,99de9626-245c-4b04-8be8-db419d7025c3,Dec-24
325,af7c5718-58d3-4a3a-93d4-d9abf800c4b3,Nov-17
326,fac05330-5714-49f2-807f-fc4d8a6ebf70,12-23:45
327,49822834-f965-4a0a-9a85-f3ee9e4a9435,Aug-24
328,266369ee-a378-4afe-adc8-ce6a5e89e3f8,Dec-23
329,cdfdceac-113a-4bb5-a435-71773574ebf1,11:30-23:30
330,5bad9d79-aaf6-4f77-9a2a-d8008bccdcdd,19-24
331,e52800aa-5cf8-43b9-898f-9a385b5c50ab,Dec-24
332,00d87ddd-fe3a-4689-b5f4-a4fe161c298b,Dec-24
333,5f3ed2ea-0fdc-41d2-a010-42c3e5d29ca8,Nov-23
334,908419ef-5e65-4d4c-81dc-ed26a4f0e29f,Nov-24
335,2b352b75-2754-43ed-9842-6192bb0e8d41,Oct-24
336,7ca221b2-f27b-4305-a2e5-233feb0850ff,Oct-23
337,699b1902-2e2e-49a3-ac1b-f96785cef3d0,Jul-24
338,fc0490bf-3eae-473f-bdf7-94a6885f8cab,Dec-24
339,bfed3de3-1c54-4429-af7b-0d597ff9fa40,Sep-23
340,509de6f5-4ff8-46bc-b479-7713cb295e13,Dec-24
341,f021b444-74cf-48d9-9673-d33df5dcced0,12-16:30/19:30-24
342,17928419-a8f8-4dbe-9ce5-c512b4eb3158,12-16:30/20-23:30
343,da248f2d-13e9-41af-81d0-47c5b6e25f7d,18-23
344,d57c04c7-d746-4755-9655-65d7aa38380f,12-16/19-24
345,70a3ed4a-853e-479d-b02c-fc0535416037,Sep-24
346,147d453e-b321-4a86-a0d8-9244d5e6cc51,18-24
347,f23f7796-8b36-40fc-8531-cb73148e17c8,Dec-24
348,71d2177a-8b65-4590-8fdc-db4671ead652,16-24
349,b8f93fd5-e31f-42c8-a6fb-fbdf9c5fbb69,Nov-24
350,f7137ee4-1d1e-4fa7-8e19-9e86f38f83e1,Dec-24
351,5692e9d9-3559-4766-8760-e14df8e67161,17-24
352,533cf440-c292-4ea7-819b-f3bcd577a873,Aug-24
