,id,name
342,516eeb31-b630-495f-b0bf-97caf35ee181,آرارات 
343,4955183f-bfbe-453e-8e4c-db96a017c1b4,هایت برگر
344,3c590149-9451-4770-9237-bb0a82ef2ac1,تاچارا
345,0b96e716-80b2-47a3-b76d-308c7fdd3081,بامزی (ساعی)
346,44ddfc10-1783-4353-8c2d-db2134076290,ساندویچ ویژه امین
347,d610d4b4-886d-46bf-9385-6eebc837ab35,خیابون
348,7a305fce-dee4-454c-acac-ddaaf840f44f,بی اسم
349,fc88650a-574b-6229-71d4-e5918f2f19da,ساندویچ فریدون
350,a49f87ea-bfd4-4043-b127-407cfa7cb952,امیرشکلات (تیراژه)
351,3ea8f374-aec7-4774-9755-6bc5daa2dbbc,هانی مطهری
352,f7203d1d-dbb2-43a0-9f36-76fa6537a500,رستوران چینی
353,38247bd9-e5e6-d6f2-f250-0422d91e6779,هایدا(مطهری)
354,3dd22401-b1c8-477b-9e39-10f04c171601,روجا
355,f8d28ff1-1e28-4db6-a7fc-0106352e9352,اسنیک
356,666050c5-e42b-4cb2-b902-3d61a8c946b4,بازارچه
357,ffb8d962-036e-47c7-9077-b844762c95a5,سیتکا
358,ad5a12f9-d689-40fc-b44b-df9cd5289690,ابتدا
359,f77a642c-7e58-4a53-a33c-15c07f5e08c2,میثم
360,ae12160f-bc05-43cf-a7b2-a06ddf4eef81,نام (ولی عصر)
361,ec294e63-0ae5-8e4e-ad66-e2664a74b3c2,شیلا (ولیعصر1)
362,ac1650e2-e525-4942-b9c3-a14eceed1006,کسری (ولیعصر)
363,f08b370b-ba6b-4d21-854a-ce27b63ffe59,بخارست
364,f22bd5d8-6fec-461d-9b65-ecbecb2174a0,تهران مرغ سوخاری (آتلانتیک)
365,6348e5b8-4edd-4619-a4c5-fa0441ccf3fc,بمب و مین
366,50cf0f19-5c2b-4ccd-9d27-1c97aba7edd1,چنار
367,3a0dbcf0-b2f7-4494-8440-a3b8cfcfb250,الیزه (جمهوری)
368,33b83bf6-10a0-7edb-b426-c6bd39df1984,آواچی (آپادانا)
369,364325f3-b6d5-47b7-b407-6942e84a5a21,دوپیو
370,1f56f460-cabc-4ca1-aa4e-c5dfb6c90fbd,کام
371,dbf61759-b237-4081-9a2d-8d37fc92fb19,سین کافه (خیابان نیلوفر)
372,c768514f-686c-45c1-a544-1e39b717c9fc,امیر
373,1b1fac49-14e1-4ca1-b7dd-e46c94828638,سین (کالج)
374,8f277244-748c-4db3-aa45-48e551faf7b8,کافه مارکت
375,55c13abe-9d59-41e8-97f1-ab81be4637fa,روتا لانژ
